id,dataset,resource,base,model,property,type,ref,source,prepare,level,status,visibility,access,uri,eli,title,description
,,,,Settlement,,,id,/,,4,,,open,,,,
,,,,,id,integer unique required,,id,,5,,,open,dct:identifier,,,
,,,,,registered,date,D,registered,,2,,,open,,,,
,,,,,_created,date,D,registered,,2,,,open,,,,
,,,,,,comment,ref,,"update(access: ""protected"")",,,,,,,,
,,,,,deregistered,date,Y,deregistered,,4,,,open,,,,
,,,,,title_lt,string,,title_lt,,4,,,open,,,,
,,,,,,comment,ref,,"update(property: ""title@lt"")",,,,,,,,
,,,,,area,number,,area,,4,,,open,,,,
,,,,,type,string,,type,,4,,,open,,,,
,,,,,,enum,,CITY,,4,,,open,,,,
,,,,,,,,SMALL TOWN,,4,,,open,,,,
,,,,,,,,VILLAGE,"""Village""",4,,,open,,,,
,,,,,,,,HAMLET,,4,,,open,,,,
,,,,,,comment,ref,,"update(access: ""protected"")",,,,,,,,
,,,,,titles,array,,,,4,,,open,,,,
,,,,,titles[],backref,Title,,,0,,,open,,,,
,,,,,titles.title,object,,title,,,,,,,,,
,,,,,,comment,type,,"update(type: ""string"")",,,,,,,,
,,,,,country_code,string,,country_code,,4,,,open,,,,
,,,,,,comment,ref,,"update(type: ""ref"", ref: ""Country[code]"")",,,,,,,,
,,,,,,,,,,,,,,,,,
,,wsdl_resource6,,,,wsdl,,http://127.0.0.1:8001/api/v1/cities/soap/city_names?wsdl,,,,,,,,,
,,city_names,,,,soap,,CityNameService.CitiesApplication.CitiesApplication.city_names,wsdl(wsdl_resource6),,,,,,,,
,,,,,,param,title,city_name_filter/title,input(),,,,,,,,
,,,,,,param,grammatical_case,city_name_filter/grammatical_case,input(),,,,,,,,
,,,,,,param,settlement_title,city_name_filter/settlement/title,input(),,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Title,,,id,/,,4,,,open,,,,
,,,,,id,integer,,id,,4,,,open,,,,
,,,,,title,string,,,,0,,,open,,,,
,,,,,accented,string,,accented,,4,,,open,,,,
,,,,,grammatical_case,string,,grammatical_case,,4,,,open,,,,
,,,,,,enum,,NOMINATIVE,,4,,,open,,,,
,,,,,,,,GENITIVE,,4,,,open,,,,
,,,,,settlement_id,string,,settlement_id,,4,,,open,,,,
,,,,,,comment,ref,,"update(type: ""ref"", ref: ""Settlement"")",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,titl,string,,,param(title),,,,,,,,
,,,,,gramm,string,,,param(grammatical_case),,,,,,,,
,,,,,sett_titl,string,,,param(settlement_title),,,,,,,,
